Album,Artist,Track ID,Track Name,Track URI,acousticness,danceability,popularity,speechiness,valence,liveness,instrumentalness,mode,energy
Mood Swings,Marcus King,2GKiJcQfvBCsjciiEGRGLf,This Far Gone,spotify:track:2GKiJcQfvBCsjciiEGRGLf,0.451,0.545,43,0.0916,0.705,0.365,1.49E-6,1,0.537
Bad For Me,Chayce Beckham,5G1Ze0Uv6mChFjDmzGCZ1N,Waylon In '75,spotify:track:5G1Ze0Uv6mChFjDmzGCZ1N,0.0096,0.409,42,0.0417,0.581,0.268,0.0,1,0.808
genre : sadboy,mgk,05TrHslexQPuqW3bGjYnin,lost boys,spotify:track:05TrHslexQPuqW3bGjYnin,0.732,0.61,70,0.0427,0.296,0.111,0.0,1,0.363
Silence Is Loud,Nia Archives,3FwfEBrr6MUPFqQFGY2ZKw,So Tell Me…,spotify:track:3FwfEBrr6MUPFqQFGY2ZKw,0.0552,0.563,"",0.0316,0.162,0.0972,0.0316,1,0.641
"NASHVILLE, TENNESSEE",ERNEST,1nG42AEm0VQrRz0DIK2WBG,Kiss Of Death,spotify:track:1nG42AEm0VQrRz0DIK2WBG,0.00111,0.5,"",0.0327,0.567,0.112,1.22E-5,0,0.856
att.,Young Miko,1jwXn7H1UDANmEvw6bfDr6,wiggy,spotify:track:1jwXn7H1UDANmEvw6bfDr6,0.0442,0.853,60,0.266,0.718,0.0759,0.0,1,0.791
Country,Medium Build,4SE5xm58Fx213Kt9PdPXXm,Say It Back,spotify:track:4SE5xm58Fx213Kt9PdPXXm,0.905,0.362,41,0.0449,0.242,0.312,2.85E-4,1,0.2
Bad For Me,Chayce Beckham,1Xrqv3yPqTgxhZ6uOnIPut,Mama,spotify:track:1Xrqv3yPqTgxhZ6uOnIPut,0.0809,0.544,35,0.0286,0.199,0.138,0.0,1,0.432
Only God Was Above Us,Vampire Weekend,4DlGLD32K7shuL8ub067DL,Classical,spotify:track:4DlGLD32K7shuL8ub067DL,0.0614,0.333,64,0.0364,0.416,0.359,7.28E-4,1,0.766
Ohio Players,The Black Keys,7DHlJLCXFlny3WhjnEL9qY,I Forgot To Be Your Lover,spotify:track:7DHlJLCXFlny3WhjnEL9qY,0.0261,0.342,58,0.0441,0.467,0.0792,1.12E-4,0,0.786
MANIFESTING 20-05,Feid,14LaTeixKug7O2jNMK8u1C,Fecha,spotify:track:14LaTeixKug7O2jNMK8u1C,0.0903,0.686,59,0.12,0.722,0.218,0.0,1,0.791
Where The Joy Is,We Are Messengers,63sRGMiGCSec4TciR1wiP5,Worthy Of Being Loved,spotify:track:63sRGMiGCSec4TciR1wiP5,0.539,0.643,31,0.0437,0.185,0.0854,2.94E-4,1,0.55
Older,Lizzy McAlpine,3tcCT8WhAIeRW2Ey9M4bL5,Staying,spotify:track:3tcCT8WhAIeRW2Ey9M4bL5,0.844,0.496,63,0.0303,0.334,0.119,5.3E-5,1,0.214
